SDSS ID,Name,RA [deg],DEC [deg],u [mag],g [mag],r [mag],i [mag],z [mag],(b/a)_r,Redshift,Confidence
1237665102216560761,WISEA J151201.88+270202.0,228.007728211146,27.0339628293254,19.96135,19.16074,18.50136,18.14028,18.12373,0.2327628,,0.650395
1237665015776673936,WISEA J111207.51+331932.3,168.031264693197,33.3257104464013,20.55822,17.83347,17.1365,16.58087,16.26031,0.1999986,0.0709848,0.650322
1237661435928117419,WISEA J142032.46+443759.2,215.135537616206,44.6330216213372,18.83812,17.19899,16.27338,15.88564,15.58341,0.380629,0.09280847,0.650298
1237667448343953505,WISEA J125502.77+253038.3,193.761618194848,25.5106908718552,18.21675,16.9691,16.31281,15.93495,15.71138,0.3720817,0.05977487,0.6501
1237656567043129675,WISEA J213341.85-010854.2,323.424402407023,-1.14840973438183,19.4826,17.86343,17.04887,16.62089,16.31296,0.3119746,0.1030874,0.650034
1237658492280897672,WISEA J121423.20+094021.4,183.596707581536,9.67262575847123,17.76842,15.99798,15.12592,14.72538,14.40456,0.4149099,0.06926829,0.650001
1237658203435302978,WISEA J114517.41+483742.9,176.32282209484,48.628605579247,18.56118,17.44783,17.08939,16.89073,17.02753,0.1714384,0.04090651,0.649981
1237662307812639137,2MASX J16212511+2530063,245.3547379721,25.501638474906,17.8046,16.25557,15.73164,15.38548,15.15771,0.3285486,0.03707909,0.649901
1237674473828974759,WISEA J114229.33+593843.7,175.622479888987,59.6453453485072,19.5431,18.74348,18.22946,17.96178,18.00372,0.2808039,,0.649871
1237661125615354081,WISEA J085107.29+293708.4,132.780431403291,29.6189465184741,18.99872,17.50354,16.66866,16.16821,15.88362,0.2185379,0.07889493,0.649671
1237662697566961808,WISEA J144644.84+314128.1,221.686941852323,31.6911675320411,18.77018,17.37643,16.79121,16.5337,16.31948,0.2125664,0.03266475,0.649627
1237668495780151738,WISEA J112727.58+171539.9,171.86589428588,17.2610096938498,19.49651,17.74158,16.62831,16.20379,15.77637,0.2801742,0.1305981,0.649498
1237660635463221341,WISEA J112600.89+463416.6,171.50388409178,46.5708100236309,19.2037,18.05266,17.25874,16.84293,16.60069,0.2369436,0.1061868,0.649437
1237663783675887901,WISEA J022036.51-002251.2,35.1522000612508,-0.380128165771015,18.17632,17.02845,16.44723,16.05788,15.88404,0.3987341,0.04415352,0.649297
1237662302449631236,WISEA J164200.43+285552.8,250.5020651706,28.932108308894,18.48256,16.92622,16.0401,15.58575,15.35587,0.3906236,0.07393689,0.649186
1237665548352880854,WISEA J141943.04+232706.0,214.929269958426,23.4516685438243,20.4826,18.08342,17.2642,16.78665,16.45088,0.3619458,0.07147183,0.649083
1237662236396421177,WISEA J125418.75+085029.0,193.578133534467,8.84141639980221,20.08533,18.41567,17.48614,17.0223,16.64805,0.319767,0.07981794,0.648962
1237655129844417068,WISEA J170707.10+341238.9,256.78016659536,34.2115407152843,18.97987,17.64644,16.91054,16.46553,16.25657,0.2840777,0.08706805,0.648901
1237662638525972826,GALEXASC J162814.53+082429.2,247.060794073578,8.40708196128574,18.39806,17.12015,16.75002,16.51799,16.30807,0.3202485,0.03393813,0.648753
1237653613720764732,WISEA J090735.06+522342.1,136.896212872372,52.3950405898336,21.07886,18.16874,17.2691,16.7977,16.57537,0.2360531,0.09978916,0.648732
1237674475439980601,WISEA J114752.37+610046.3,176.968267236426,61.0128871790908,20.44595,18.35494,17.66617,17.19,17.01764,0.1583407,0.1095282,0.648696
1237665428645871725,WISEA J160537.25+173555.5,241.405263876367,17.5987462362828,19.74316,17.90775,17.04664,16.68717,16.6215,0.3499997,0.03298282,0.648604
1237667430642352177,2MASX J11153540+2652106,168.897367378932,26.8696897222821,18.71276,17.25404,16.64968,16.31646,16.10352,0.3105863,0.06175062,0.648561
1237661949175201862,WISEA J112719.21+113824.6,171.83039296063,11.6401707996831,19.49518,17.8048,16.82174,16.34772,15.89314,0.2855049,0.0836208,0.648552
1237656567041098103,WISEA J211510.96-011014.0,318.795679426532,-1.17074667013525,18.97854,17.64885,17.03921,16.60699,16.45834,0.2722037,0.08545142,0.64853
1237657772319572185,WISEA J094443.57+520519.9,146.181635564265,52.0889244668084,20.25768,18.49278,17.74792,17.28735,17.23293,0.2835138,0.04587585,0.648518
1237661434321371338,WISEA J150054.90+394739.5,225.228991649294,39.7945658759103,19.26075,17.78656,16.87309,16.42001,16.10201,0.3121682,0.1101724,0.648479
1237664669508763780,WISEA J101700.98+363902.1,154.253409385275,36.6508445789066,22.94858,23.5637,22.50159,21.98164,22.68181,0.05,,0.64846
